size,team,complexity,effort
152,13,2,1482.5101874205147
485,12,6,9530.591602996103
398,8,9,7382.653501010982
320,2,8,6658.6718895042595
156,2,5,3996.330197304002
121,14,1,2956.295954583274
238,10,7,3531.9230789882095
70,4,5,2117.5019041927067
152,8,6,5159.51597742328
171,7,7,3288.0863708902343
264,9,3,5268.738301546032
380,10,3,6643.46645367937
137,6,5,4661.853355856696
422,2,6,6356.656688407938
149,11,9,5359.238246409443
409,13,5,7064.987245956223
201,16,1,3262.024855791007
180,10,4,3911.8320876518983
199,18,5,5075.948301609017
358,18,5,9343.835527811314
307,13,7,6608.445094642458
393,8,4,7086.933674219263
463,3,1,9160.37153268196
343,4,5,6706.264733053844
435,18,7,7671.869783798463
241,6,6,6322.16446236983
493,18,5,8187.457476684777
326,18,4,5670.903265999548
210,18,2,3451.7751607345035
363,3,4,4981.505966066453
71,3,3,2004.8079538077895
302,6,1,4700.517402547748
285,2,8,1770.193293404665
394,2,5,6308.084325660585
98,3,4,1508.505293033239
108,13,8,4431.390437158627
219,7,7,3869.0896662475643
237,5,2,10506.334782179561
320,12,1,7316.152294524291
239,18,4,4677.107530788267
495,7,8,10184.5476945997
224,6,2,4590.2540552291375
495,3,3,8245.15895577629
100,7,1,3003.1827067289155
413,12,1,7099.885049112583
104,17,3,3228.421387292973
293,17,5,7003.0230195347585
369,2,3,8477.943290094589
180,10,1,3721.4339666636088
356,7,1,5335.444002033413
184,17,8,2304.9229738872136
70,4,2,3883.564166356365
378,5,3,6014.109944913648
216,4,2,4361.77114809752
323,8,3,7972.0886843123935
437,10,7,8268.12278511659
138,2,1,2076.3956857470243
365,9,8,8678.607573052494
63,8,2,2217.884481076703
291,19,3,6568.326725668081
314,9,9,4502.206955433887
395,2,7,8332.098248691102
102,12,4,3180.7056815899746
435,19,5,6619.092744332251
389,11,2,7317.11293393593
141,4,8,839.9691913059005
416,8,4,10010.370243015594
493,17,9,8172.774240021887
477,17,5,10709.151318862123
313,18,9,5879.453342257616
480,3,4,8532.270853164864
84,2,5,885.4460920686015
255,17,9,7121.5382662773845
130,13,8,3407.6175097112978
469,6,3,8316.33545544925
99,6,1,1983.0772578947938
409,10,3,5456.2022562196125
437,10,4,8239.92823162864
51,4,2,641.1150172011024
439,17,1,8979.375351609133
103,17,7,3121.9682302191877
155,4,8,3432.8833091660017
309,2,7,7614.511757247524
359,12,5,9562.96415340954
240,18,1,5743.240746854499
451,9,7,7800.431883091937
267,5,7,4695.406405972627
93,7,9,1912.587617617704
211,9,3,3314.714179735732
251,4,9,4756.6683077952375
495,17,1,10922.10356039388
319,4,1,4908.333994975772
400,19,4,6148.736394962277
353,15,9,7324.9983205504595
320,19,6,6873.754110913277
264,3,3,4542.762551820547
301,4,1,7907.765903450702
239,17,4,5167.80661363084
345,10,9,7777.4729905767945
262,5,3,3653.587975130742
257,2,9,7191.875325774267
286,5,7,5732.975746012302
387,2,4,6885.262764488445
416,15,3,6558.585727424037
102,17,5,3716.192389519675
329,9,5,6856.278068004365
459,8,3,6321.277879409892
266,4,9,3319.090093934812
301,18,4,6427.399228331358
237,2,5,3688.476211853361
429,17,4,8246.905762962875
90,13,5,1180.756714922262
206,15,7,2957.392902740795
64,7,9,2708.0273556012926
350,7,7,6090.259486851777
114,14,5,617.1605746197861
394,9,7,8901.718581729276
376,3,5,4850.811518179491
58,2,3,4437.989942532518
393,16,7,6946.179925333706
178,2,2,3511.8726817511983
185,6,9,6191.338812464623
112,17,1,4595.32071339459
188,5,6,6223.36368747226
130,4,7,1202.3085133435761
441,18,8,7291.961402991304
212,18,9,5611.196728912835
468,13,2,9047.696925477258
338,15,2,6196.527067944435
428,7,5,5474.407157143934
310,4,5,6085.893790757759
280,10,6,5286.898334119159
90,6,3,1822.5132492529601
77,18,8,461.45949862733096
184,15,1,4736.981045373977
250,4,6,4884.24487234255
377,2,4,8409.197467966756
317,2,1,4905.590824162593
467,4,7,8764.608156622828
82,19,9,4448.181811326315
